      VideoTitle,VideoHref,Duration,Date,Modality
Quarantine Cooking Segment with Erica Wides,https://www.youtube.com/watch?v=kEnstYzdEnc,47 min,13-Apr,Cooking
Salsa Class Highlights with Ney Melo,https://www.youtube.com/watch?v=_9mC5ut-mQw,2 min,12-May,Dance
"The Diet Debate: Ketogenic, Mediterranean, Nutrivore + Vegetarian Diets",https://www.youtube.com/watch?v=hIr3xtHAFps,62 min,9-Oct,Diet
Sound Bath Meditation with Glendy Yeung,https://www.youtube.com/watch?v=Alnzo6hq3WI,59 min,13-Apr,Meditation
Earth Day Meditation with Kathy Salvo,https://www.youtube.com/watch?v=4QCr5CewMSo,8 min,21-Apr,Meditation
60 Min. Stretching + Meditation with Gillian G.,https://www.youtube.com/watch?v=y9Q1_Wbew_k,56 min,23-Apr,Meditation
Mother's Day Meditation with Kathy Salvo,https://www.youtube.com/watch?v=9YfvO3E_m1o,7 min,5-May,Meditation
I've Always Wanted to... Meditate with Kathy Salvo,https://www.youtube.com/watch?v=VwGAdQq0jLU,5 min,24-May,Meditation
Meditation To Focus On What's Important with Alyssa Magsano,https://www.youtube.com/watch?v=dgDSSlJqydQ,13 min,31-Oct,Meditation
30 Min. Barre + Clean Margarita Recipe with Donatella Fino,https://www.youtube.com/watch?v=wMghFerW5po,42 min,30-Mar,Pilates/Barre
30 Min. Barre with Emily-Ann Little,https://www.youtube.com/watch?v=GFbzPPBMoLA,35 min,10-Apr,Pilates/Barre
30 Min. Pilates Mat with Catherine Ekeleme,https://www.youtube.com/watch?v=uX0iv2YiQBw,37 min,13-Apr,Pilates/Barre
30 Min. Barre: Booty + Abs Workout with Emily-Ann,https://www.youtube.com/watch?v=SsSrZbDWm-g,36 min,14-Apr,Pilates/Barre
30 Min. Barre Workout + Pink Elephant Cocktail Recipe with Donatella Fino,https://www.youtube.com/watch?v=-Mj0QzbxVig,42 min,17-Apr,Pilates/Barre
30 Min. Pilates Mat with Kari Johns,https://www.youtube.com/watch?v=Cz7_VVQLy6A,39 min,21-Apr,Pilates/Barre
30 Min. Pilates Mat with Catherine Ekeleme,https://www.youtube.com/watch?v=Yef1R-IOwFo,50 min,24-Apr,Pilates/Barre
30 Min. Barre with Emily-Ann Little,https://www.youtube.com/watch?v=uiYcDsUAXgA,29 min,5-May,Pilates/Barre
30 Min. Barre with Jason Morris,https://www.youtube.com/watch?v=jdmfq-V0vfI,33 min,5-May,Pilates/Barre
30 Min. Pilates with Catherine Ekeleme,https://www.youtube.com/watch?v=t7HCsJbveDo,33 min,15-May,Pilates/Barre
30 Min. Pilates with Catherine Ekeleme,https://www.youtube.com/watch?v=lSnsjHwj7UI,32 min,12-Jun,Pilates/Barre
30 Min. Barre with Donatella Fino,https://www.youtube.com/watch?v=tdV0LM6R6H0,37 min,19-Jun,Pilates/Barre
30 Min Barre Class with Donatella Fino,https://www.youtube.com/watch?v=wzAUKDJnzig,41 min,15-Jul,Pilates/Barre
60 Min. Barre Workout with Emily-Ann Little,https://www.youtube.com/watch?v=a4PxM3Cdlvo,63 min,9-Oct,Pilates/Barre
60 Min. Barre Workout with Emily-Ann Little,https://www.youtube.com/watch?v=HYdkSJ6Ll5k,63 min,13-Oct,Pilates/Barre
60 Min. Barre Workout with Emily-Ann,https://www.youtube.com/watch?v=MywjM_8zQhs,60 min,27-Oct,Pilates/Barre
10 Min. Total Body Mobility for Runners | 6-Week Virtual Running Program | Coach Ray Camano,https://www.youtube.com/watch?v=QlTmp_oHm7s,12 min,5-Oct,Running
Dynamic Warm-Up for Runners | 6-Week Virtual Running Program | Coach Ray Camano,https://www.youtube.com/watch?v=qSs9weim4Qc,4 min,5-Oct,Running
"Warm-Up + Cooldown for Runners (1-2-3, 3-2-1) | 6-Week Virtual Running Program | Coach Ray Camano",https://www.youtube.com/watch?v=9LjI0gGF288,4 min,5-Oct,Running
